report_date,workday1,workday2,workday3,workday4,workday5,weekend1,weekend2,dayoff1,dayoff2,dayoff3,dayoff_before_workday,dayoff_after_workday,workday_before_dayoff,workday,dayoff,early_month,med_month,end_mon,mon_1st,after_dayoff2,after_dayoff3,aft_dayoff7,before_dayoff2,before_dayoff3,2dayoff,3dayoff,Sunday_workday,total_purchase_amt,total_redeem_amt,redeem_high,purchase_high
20140331,1,,,,,,,,,,,1,,1,,,,1,,,1,,1,,,,,205533934,264714811,1,1
20140401,,1,,,,,,,,,,,,1,,1,,,1,,1,,1,,,,,398884905,423852634,1,1
20140402,,,1,,,,,,,,,,,1,,1,,,,,1,,1,,,,,453320585,277429358,0,1
20140403,,,,1,,,,,,,,,,1,,1,,,,,1,,1,,,,,355347118,272612066,0,1
20140404,,,,,1,,,,,,1,,,1,,1,,,,,1,,1,,,,,363877120,266605457,0,0
20140405,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,1,,251895894,200192637,0,0
20140406,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,1,,202336542,163199682,0,0
20140407,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,1,,129477254,139576683,0,0
20140408,,1,,,,,,,,,,1,,1,,1,,,,1,,,,1,,,,196936223,176966561,0,1
20140409,,,1,,,,,,,,,,,1,,1,,,,1,,,,1,,,,354770149,250015131,1,1
20140410,,,,1,,,,,,,,,,1,,1,,,,1,,,,1,,,,383347565,289330278,1,1
20140411,,,,,1,,,,,,1,,,1,,,1,,,1,,,,1,,,,386567460,286914864,1,0
20140412,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,237829882,277077434,0,0
20140413,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,177642053,123295320,0,0
20140414,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,208172985,178934722,1,1
20140415,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,309853269,415986984,1,1
20140416,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,428681231,285293076,0,1
20140417,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,387847838,255914640,0,1
20140418,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,355792647,265341592,0,0
20140419,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,239300383,225952909,0,0
20140420,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,268729366,146374940,0,0
20140421,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,191259529,161057781,1,1
20140422,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,301134667,295635256,0,1
20140423,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,285248757,268810141,1,1
20140424,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,313677307,278470936,0,1
20140425,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,318358891,224536754,0,0
20140426,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,220927432,227764292,0,0
20140427,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,151625415,158122962,0,0
20140428,1,,,,,,,,,,,1,,1,,,,1,,,1,,1,,,,,146837951,191915377,1,1
20140429,,1,,,,,,,,,,,,1,,,,1,,,1,,1,,,,,324937272,327724735,1,1
20140430,,,1,,,,,,,,1,,,1,,,,1,,,1,,1,,,,,330607104,307578349,1,0
20140501,,,,1,,,,1,,,,,,,1,1,,,1,,,,,,,1,,260091330,281835975,0,0
20140502,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,1,,193045106,143362755,0,0
20140503,,,,,,1,,,,1,,,1,,1,1,,,,,,,,,,1,,125336258,121222064,0,0
20140504,,,,,,,1,,,,,1,,1,,1,,,,1,,,,1,,,1,185094488,199568043,1,1
20140505,1,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,303087562,413222034,1,1
20140506,,1,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,370924149,309330781,1,1
20140507,,,1,,,,,,,,,,,1,,1,,,,1,,,,1,,,,318002728,341108696,0,1
20140508,,,,1,,,,,,,,,,1,,1,,,,1,,,,1,,,,417327518,239372999,0,1
20140509,,,,,1,,,,,,1,,,1,,1,,,,1,,,,1,,,,392838756,273187499,0,1
20140510,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,,,281479009,247743971,0,1
20140511,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,287240171,147248328,0,0
20140512,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,182424063,152945581,1,1
20140513,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,325108597,293952908,0,1
20140514,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,275241493,257918375,1,1
20140515,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,305474522,316225442,0,1
20140516,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,313367089,238307643,1,0
20140517,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,231967423,282094916,0,0
20140518,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,170983868,145854372,0,0
20140519,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,164419642,153440019,1,0
20140520,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,259077930,293791406,0,1
20140521,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,453955303,260040720,0,1
20140522,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,297799722,250223726,0,1
20140523,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,344636549,251108485,0,0
20140524,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,249546195,229000787,0,0
20140525,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,160073254,154409868,0,0
20140526,1,,,,,,,,,,,1,,1,,,,1,,,1,,1,,,,,166943526,231004758,1,1
20140527,,1,,,,,,,,,,,,1,,,,1,,,1,,1,,,,,344890868,274707572,1,1
20140528,,,1,,,,,,,,,,,1,,,,1,,,1,,1,,,,,299049555,321965845,1,1
20140529,,,,1,,,,,,,,,,1,,,,1,,,1,,1,,,,,276134813,415891684,1,1
20140530,,,,,1,,,,,,1,,,1,,,,1,,,1,,1,,,,,320549863,313827800,1,0
20140531,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,1,,226547701,312802179,0,0
20140601,,,,,,,1,,1,,,,,,1,1,,,1,,,,,,,1,,146823669,142862063,0,0
20140602,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,1,,183489775,149829253,0,0
20140603,,1,,,,,,,,,,1,,1,,1,,,,1,,,,1,,,,158219402,170409506,1,0
20140604,,,1,,,,,,,,,,,1,,1,,,,1,,,,1,,,,270887462,385622582,1,1
20140605,,,,1,,,,,,,,,,1,,1,,,,1,,,,1,,,,274460744,303978838,1,1
20140606,,,,,1,,,,,,1,,,1,,1,,,,1,,,,1,,,,380042567,355645445,1,1
20140607,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,,,301413900,274862067,0,0
20140608,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,1,,,187801995,146203577,0,1
20140609,1,,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,302171269,169525332,1,1
20140610,,1,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,366114374,287520152,1,1
20140611,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,354031597,298190025,0,1
20140612,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,327661453,246127540,0,1
20140613,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,332365185,236467885,1,0
20140614,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,216923770,386799040,0,0
20140615,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,181574530,229916191,0,0
20140616,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,166080126,116623756,1,1
20140617,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,387308484,492349489,1,0
20140618,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,270350693,502560223,1,1
20140619,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,335262709,421920230,1,1
20140620,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,338609087,284956260,1,0
20140621,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,251582530,286583065,0,0
20140622,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,177999186,231003775,1,0
20140623,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,147180819,361285652,1,0
20140624,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,232227670,373779624,1,0
20140625,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,245450766,428471509,1,0
20140626,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,264663201,547295931,1,1
20140627,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,297628039,418742109,1,0
20140628,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,264282703,399444352,1,0
20140629,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,153826161,283400236,0,0
20140630,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,158801540,261170799,1,1
20140701,,1,,,,,,,,,,,,1,,1,,,1,1,,,1,,,,,334054112,456547794,1,1
20140702,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,,384428753,374164541,1,1
20140703,,,,1,,,,,,,,,,1,,1,,,,1,,,1,,,,,384555819,328950951,1,1
20140704,,,,,1,,,,,,1,,,1,,1,,,,1,,,1,,,,,297894643,289009780,0,0
20140705,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,,,211649838,264494550,0,0
20140706,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,1,,,169383796,272535138,0,0
20140707,1,,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,199569025,195530758,1,0
20140708,,1,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,272182847,317612569,1,0
20140709,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,,224240103,340453063,0,1
20140710,,,,1,,,,,,,,,,1,,1,,,,1,,,1,,,,,278005555,269642881,1,1
20140711,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,283095921,326009240,0,0
20140712,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,208671021,240050748,0,0
20140713,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,177644343,149081488,0,0
20140714,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,179759885,199459990,1,0
20140715,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,254797524,284753279,0,1
20140716,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,334810012,261722182,0,1
20140717,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,394890140,234775948,1,0
20140718,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,253011280,298279385,0,0
20140719,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,208959595,208671287,0,0
20140720,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,210318023,155464283,0,0
20140721,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,176449304,174462836,1,1
20140722,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,378088594,434191479,1,0
20140723,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,243084133,369043423,1,0
20140724,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,265461894,308353077,1,1
20140725,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,277044480,347622431,0,0
20140726,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,181641088,262874791,1,0
20140727,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,128268053,282653341,0,0
20140728,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,151406251,166610652,1,1
20140729,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,371762756,345986909,1,0
20140730,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,228093046,303480103,0,0
20140731,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,209917272,250117716,1,0
20140801,,,,,1,,,,,,1,,,1,,1,,,1,1,,,1,,,,,191728916,277194379,0,1
20140802,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,,,374884735,252540858,0,0
20140803,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,1,,,189092130,172250225,0,0
20140804,1,,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,173825397,127125217,1,1
20140805,,1,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,330640884,322907524,0,1
20140806,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,,394780870,221706539,1,1
20140807,,,,1,,,,,,,,,,1,,1,,,,1,,,1,,,,,288821016,282346594,0,0
20140808,,,,,1,,,,,,1,,,1,,1,,,,1,,,1,,,,,247646474,253659514,1,0
20140809,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,,,233903717,311648757,0,0
20140810,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,1,,,160262764,163611708,0,0
20140811,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,259534870,189909225,1,1
20140812,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,331550471,418603336,1,0
20140813,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,258493673,309754858,1,0
20140814,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,261506619,303975517,0,0
20140815,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,257702660,211939431,0,0
20140816,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,244551620,236516007,0,0
20140817,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,215059736,219214339,0,0
20140818,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,149978271,139564084,0,1
20140819,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,298499146,259169016,0,0
20140820,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,266401973,254929877,0,1
20140821,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,308378692,202452782,0,0
20140822,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,251763517,219963356,0,0
20140823,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,246316056,179349206,0,0
20140824,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,141412027,199377531,0,0
20140825,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,130195484,191080151,1,1
20140826,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,309574223,312413411,1,1
20140827,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,306945089,285478563,1,1
20140828,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,302194801,468164147,1,0
20140829,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,245082751,297893861,1,0
20140830,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,267554713,273756380,0,0
20140831,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,199708772,196374134,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,275090213,292943033,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
