report_date,total_purchase_amt,total_redeem_amt,tBalance,yBalance
2013-12-24,305406334,118607911,7241443693,7054645270
2013-12-25,380076148,172755480,7448764361,7241443693
2013-12-26,220287409,241852564,7427199206,7448764361
2013-12-27,211118967,163522548,7474795625,7427199206
2013-12-28,192808006,61383220,7606220411,7474795625
2013-12-29,161473347,55129989,7712563769,7606220411
2013-12-30,286358778,179826624,7819095923,7712563769
2013-12-31,265851934,134232530,7950715327,7819095923
2014-01-01,330926565,77367755,8204274137,7950715327
2014-01-02,434956739,190155450,8449075426,8204274137
2014-01-03,342074805,127714255,8663435976,8449075426
2014-01-04,186085910,99869074,8749652812,8663435976
2014-01-05,206030707,156781996,8798901523,8749652812
2014-01-06,442494042,190917629,9050477936,8798901523
2014-01-07,589726496,137972793,9502231639,9050477936
2014-01-08,264025160,213880074,9552376725,9502231639
2014-01-09,280698487,140391237,9692683975,9552376725
2014-01-10,237797636,117259153,9813222458,9692683975
2014-01-11,243403438,71530182,9985095714,9813222458
2014-01-12,228255344,141505812,10071845246,9985095714
2014-01-13,447207050,178923772,10340128524,10071845246
2014-01-14,356907128,159778389,10537257263,10340128524
2014-01-15,391408718,177618247,10751047734,10537257263
2014-01-16,374947083,153167426,10972827391,10751047734
2014-01-17,345426853,127385210,11190869034,10972827391
2014-01-18,233200688,142869842,11281199880,11190869034
2014-01-19,185082022,117629351,11348652551,11281199880
2014-01-20,335761027,442996084,11241417494,11348652551
2014-01-21,412854611,302825136,11351446969,11241417494
2014-01-22,498730606,292856188,11557321387,11351446969
2014-01-23,481450097,209024328,11829747156,11557321387
2014-01-24,614103894,345829001,12098022049,11829747156
2014-01-25,440854623,185524856,12353351816,12098022049
2014-01-26,528402520,331752519,12550001817,12353351816
2014-01-27,657199484,280645861,12926555440,12550001817
2014-01-28,843424742,248334316,13521645866,12926555440
2014-01-29,952479658,215164666,14258960858,13521645866
2014-01-30,227916211,105288105,14381588964,14258960858
2014-01-31,87324175,48132389,14420780750,14381588964
2014-02-01,64287172,61527060,14423540862,14420780750
2014-02-02,57912761,24395720,14457057903,14423540862
2014-02-03,84329848,46109194,14495278557,14457057903
2014-02-04,83653646,44927333,14534004870,14495278557
2014-02-05,209043990,95407704,14647641156,14534004870
2014-02-06,227860276,111635336,14763866096,14647641156
2014-02-07,578818221,273482213,15069202104,14763866096
2014-02-08,358255468,183432237,15244025335,15069202104
2014-02-09,341911234,262954049,15322982520,15244025335
2014-02-10,647465140,431753411,15538694249,15322982520
2014-02-11,818803205,243058162,16114439292,15538694249
2014-02-12,763009770,354585919,16522863143,16114439292
2014-02-13,626698794,362757986,16786803951,16522863143
2014-02-14,490710434,263261899,17014252486,16786803951
2014-02-15,255393179,121463693,17148181972,17014252486
2014-02-16,331324628,183057224,17296449376,17148181972
2014-02-17,706118060,405809267,17596758169,17296449376
2014-02-18,593563145,271125324,17919195990,17596758169
2014-02-19,408367966,323990451,18003573505,17919195990
2014-02-20,478925191,230855410,18251643286,18003573505
2014-02-21,353981687,178914448,18426710525,18251643286
2014-02-22,282022706,134735118,18573998113,18426710525
2014-02-23,337053711,195214052,18715837772,18573998113
2014-02-24,656317045,473470156,18898684661,18715837772
2014-02-25,563505889,299155352,19163035198,18898684661
2014-02-26,680801145,284819682,19559016661,19163035198
2014-02-27,672909288,492786036,19739139913,19559016661
2014-02-28,428721754,322030204,19845831463,19739139913
2014-03-01,362865580,211279011,19997418032,19845831463
2014-03-02,276202230,246199417,20027420845,19997418032
2014-03-03,505305862,513017360,20019709347,20027420845
2014-03-04,524146340,250562978,20293292709,20019709347
2014-03-05,454295491,209072753,20538515447,20293292709
2014-03-06,561787770,243149884,20857153333,20538515447
2014-03-07,380139779,291087220,20946205892,20857153333
2014-03-08,243274169,140323202,21049156859,20946205892
2014-03-09,244752519,206312503,21087596875,21049156859
2014-03-10,497338076,308040624,21276894327,21087596875
2014-03-11,430500816,496039886,21211355257,21276894327
2014-03-12,377007897,416491268,21171871886,21211355257
2014-03-13,346286910,316973542,21201185254,21171871886
2014-03-14,315897431,311575572,21205507113,21201185254
2014-03-15,287407002,242799048,21250115067,21205507113
2014-03-16,269387391,390584547,21128917911,21250115067
2014-03-17,339008082,440624592,21027301401,21128917911
2014-03-18,435479117,410240726,21052539792,21027301401
2014-03-19,359014064,429298917,20982254939,21052539792
2014-03-20,365011495,336076380,21011190054,20982254939
2014-03-21,282351818,259655286,21033886586,21011190054
2014-03-22,191700135,138039412,21087547309,21033886586
2014-03-23,167456369,186443311,21068560367,21087547309
2014-03-24,313180334,437825259,20943915442,21068560367
2014-03-25,314345006,312710515,20945549933,20943915442
2014-03-26,272935544,450254233,20768231244,20945549933
2014-03-27,266231082,359071642,20675390684,20768231244
2014-03-28,225966355,405443946,20495913093,20675390684
2014-03-29,160250985,155006056,20501158022,20495913093
2014-03-30,205533934,264714811,20441977145,20501158022
2014-03-31,398884905,423852634,20417009416,20441977145
2014-04-01,453320585,277429358,20592900643,20417009416
2014-04-02,355347118,272612066,20675635695,20592900643
2014-04-03,363877120,266605457,20772907358,20675635695
2014-04-04,251895894,200192637,20824610615,20772907358
2014-04-05,202336542,163199682,20863747475,20824610615
2014-04-06,129477254,139576683,20853648046,20863747475
2014-04-07,196936223,176966561,20873617708,20853648046
2014-04-08,354770149,250015131,20978372726,20873617708
2014-04-09,383347565,289330278,21072390013,20978372726
2014-04-10,386567460,286914864,21172042609,21072390013
2014-04-11,237829882,277077434,21132795057,21172042609
2014-04-12,177642053,123295320,21187141790,21132795057
2014-04-13,208172985,178934722,21216380053,21187141790
2014-04-14,309853269,415986984,21110246338,21216380053
2014-04-15,428681231,285293076,21253634493,21110246338
2014-04-16,387847838,255914640,21385567691,21253634493
2014-04-17,355792647,265341592,21476018746,21385567691
2014-04-18,239300383,225952909,21489366220,21476018746
2014-04-19,268729366,146374940,21611720646,21489366220
2014-04-20,191259529,161057781,21641922394,21611720646
2014-04-21,301134667,295635256,21647421805,21641922394
2014-04-22,285248757,268810141,21663860421,21647421805
2014-04-23,313677307,278470936,21699066792,21663860421
2014-04-24,318358891,224536754,21792888929,21699066792
2014-04-25,220927432,227764292,21786052069,21792888929
2014-04-26,151625415,158122962,21779554522,21786052069
2014-04-27,146837951,191915377,21734477096,21779554522
2014-04-28,324937272,327724735,21731689633,21734477096
2014-04-29,330607104,307578349,21754718388,21731689633
2014-04-30,260091330,281835975,21732973743,21754718388
2014-05-01,193045106,143362755,21782656094,21732973743
2014-05-02,125336258,121222064,21786770288,21782656094
2014-05-03,185094488,199568043,21772296733,21786770288
2014-05-04,303087562,413222034,21662162261,21772296733
2014-05-05,370924149,309330781,21723755629,21662162261
2014-05-06,318002728,341108696,21700649661,21723755629
2014-05-07,417327518,239372999,21878604180,21700649661
2014-05-08,392838756,273187499,21998255437,21878604180
2014-05-09,281479009,247743971,22031990475,21998255437
2014-05-10,287240171,147248328,22171982318,22031990475
2014-05-11,182424063,152945581,22201460800,22171982318
2014-05-12,325108597,293952908,22232616489,22201460800
2014-05-13,275241493,257918375,22249939607,22232616489
2014-05-14,305474522,316225442,22239188687,22249939607
2014-05-15,313367089,238307643,22314248133,22239188687
2014-05-16,231967423,282094916,22264120640,22314248133
2014-05-17,170983868,145854372,22289250136,22264120640
2014-05-18,164419642,153440019,22300229759,22289250136
2014-05-19,259077930,293791406,22265516283,22300229759
2014-05-20,453955303,260040720,22459430866,22265516283
2014-05-21,297799722,250223726,22507006862,22459430866
2014-05-22,344636549,251108485,22600534926,22507006862
2014-05-23,249546195,229000787,22621080334,22600534926
2014-05-24,160073254,154409868,22626743720,22621080334
2014-05-25,166943526,231004758,22562682488,22626743720
2014-05-26,344890868,274707572,22632865784,22562682488
2014-05-27,299049555,321965845,22609949494,22632865784
2014-05-28,276134813,415891684,22470192623,22609949494
2014-05-29,320549863,313827800,22476914686,22470192623
2014-05-30,226547701,312802179,22390660208,22476914686
2014-05-31,146823669,142862063,22394621814,22390660208
2014-06-01,183489775,149829253,22428282336,22394621814
2014-06-02,158219402,170409506,22416092232,22428282336
2014-06-03,270887462,385622582,22301357112,22416092232
2014-06-04,274460744,303978838,22271839018,22301357112
2014-06-05,380042567,355645445,22296236140,22271839018
2014-06-06,301413900,274862067,22322787973,22296236140
2014-06-07,187801995,146203577,22364386391,22322787973
2014-06-08,302171269,169525332,22497032328,22364386391
2014-06-09,366114374,287520152,22575626550,22497032328
2014-06-10,354031597,298190025,22631468122,22575626550
2014-06-11,327661453,246127540,22713002035,22631468122
2014-06-12,332365185,236467885,22808899335,22713002035
2014-06-13,216923770,386799040,22639024065,22808899335
2014-06-14,181574530,229916191,22590682404,22639024065
2014-06-15,166080126,116623756,22640138774,22590682404
2014-06-16,387308484,492349489,22535097769,22640138774
2014-06-17,270350693,502560223,22302888239,22535097769
2014-06-18,335262709,421920230,22216230718,22302888239
2014-06-19,338609087,284956260,22269883545,22216230718
2014-06-20,251582530,286583065,22234883010,22269883545
2014-06-21,177999186,231003775,22181878421,22234883010
2014-06-22,147180819,361285652,21967773588,22181878421
2014-06-23,232227670,373779624,21826221634,21967773588
2014-06-24,245450766,428471509,21643200891,21826221634
2014-06-25,264663201,547295931,21360568161,21643200891
2014-06-26,297628039,418742109,21239454091,21360568161
2014-06-27,264282703,399444352,21104292442,21239454091
2014-06-28,153826161,283400236,20974718367,21104292442
2014-06-29,158801540,261170799,20872349108,20974718367
2014-06-30,334054112,456547794,20749855426,20872349108
2014-07-01,384428753,374164541,20760119638,20749855426
2014-07-02,384555819,328950951,20815724506,20760119638
2014-07-03,297894643,289009780,20824609369,20815724506
2014-07-04,211649838,264494550,20771764657,20824609369
2014-07-05,169383796,272535138,20668613315,20771764657
2014-07-06,199569025,195530758,20672651582,20668613315
2014-07-07,272182847,317612569,20627221860,20672651582
2014-07-08,224240103,340453063,20511008900,20627221860
2014-07-09,278005555,269642881,20519371574,20511008900
2014-07-10,283095921,326009240,20476458255,20519371574
2014-07-11,208671021,240050748,20445078528,20476458255
2014-07-12,177644343,149081488,20473641383,20445078528
2014-07-13,179759885,199459990,20453941278,20473641383
2014-07-14,254797524,284753279,20423985523,20453941278
2014-07-15,334810012,261722182,20497073353,20423985523
2014-07-16,394890140,234775948,20657187545,20497073353
2014-07-17,253011280,298279385,20611919440,20657187545
2014-07-18,208959595,208671287,20612207748,20611919440
2014-07-19,210318023,155464283,20667061488,20612207748
2014-07-20,176449304,174462836,20669047956,20667061488
2014-07-21,378088594,434191479,20612945071,20669047956
2014-07-22,243084133,369043423,20486985781,20612945071
2014-07-23,265461894,308353077,20444094598,20486985781
2014-07-24,277044480,347622431,20373516647,20444094598
2014-07-25,181641088,262874791,20292282944,20373516647
2014-07-26,128268053,282653341,20137897656,20292282944
2014-07-27,151406251,166610652,20122693255,20137897656
2014-07-28,371762756,345986909,20148469102,20122693255
2014-07-29,228093046,303480103,20073082045,20148469102
2014-07-30,209917272,250117716,20032881601,20073082045
2014-07-31,191728916,277194379,19947416138,20032881601
2014-08-01,374884735,252540858,20069760015,19947416138
2014-08-02,189092130,172250225,20086601920,20069760015
2014-08-03,173825397,127125217,20133302100,20086601920
2014-08-04,330640884,322907524,20141035460,20133302100
2014-08-05,394780870,221706539,20314109791,20141035460
2014-08-06,288821016,282346594,20320584213,20314109791
2014-08-07,247646474,253659514,20314571173,20320584213
2014-08-08,233903717,311648757,20236826133,20314571173
2014-08-09,160262764,163611708,20233477189,20236826133
2014-08-10,259534870,189909225,20303102834,20233477189
2014-08-11,331550471,418603336,20216049969,20303102834
2014-08-12,258493673,309754858,20164788784,20216049969
2014-08-13,261506619,303975517,20122319886,20164788784
2014-08-14,257702660,211939431,20168083115,20122319886
2014-08-15,244551620,236516007,20176118728,20168083115
2014-08-16,215059736,219214339,20171964125,20176118728
2014-08-17,149978271,139564084,20182378312,20171964125
2014-08-18,298499146,259169016,20221708442,20182378312
2014-08-19,266401973,254929877,20233180538,20221708442
2014-08-20,308378692,202452782,20339106448,20233180538
2014-08-21,251763517,219963356,20370906609,20339106448
2014-08-22,246316056,179349206,20437873459,20370906609
2014-08-23,141412027,199377531,20379907955,20437873459
2014-08-24,130195484,191080151,20319023288,20379907955
2014-08-25,309574223,312413411,20316184100,20319023288
2014-08-26,306945089,285478563,20337650626,20316184100
2014-08-27,302194801,468164147,20171681280,20337650626
2014-08-28,245082751,297893861,20118870170,20171681280
2014-08-29,267554713,273756380,20112668503,20118870170
2014-08-30,199708772,196374134,20116003141,20112668503
2014-08-31,275090213,292943033,20098150321,20116003141
