report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,total_purchase_amt,total_redeem_amt,workday1,workday2,workday3,workday4,workday5,poor_purchase_amt,rich_purchase_amt,poor_redeem_amt,rich_redeem_amt
3/19/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359014064,429298917,,,1,,,155432450,203581614,95844040,333454877
3/20/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365011495,336076380,,,,1,,100407835,264603660,101341187,234735193
3/21/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,282351818,259655286,,,,,1,120632486,161719332,103509301,156145985
3/22/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,191700135,138039412,,,,,,79911547,111788588,82504112,55535300
3/23/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,167456369,186443311,,,,,,91467862,75988507,82469002,103974309
3/24/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,313180334,437825259,1,,,,,126617090,186563244,116426578,321398681
3/25/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,314345006,312710515,,1,,,,137230829,177114177,122938982,189771533
3/26/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,272935544,450254233,,,1,,,110824606,162110938,116931571,333322662
3/27/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266231082,359071642,,,,1,,125466748,140764334,105486212,253585430
3/28/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,225966355,405443946,,,,,1,118693804,107272551,118593387,286850559
3/29/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,160250985,155006056,,,,,,87758542,72492443,63813835,91192221
3/30/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,205533934,264714811,,,,,,88057641,117476293,78020858,186693953
3/31/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,398884905,423852634,1,,,,,174909355,223975550,132283717,291568917
4/1/2014,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453320585,277429358,,1,,,,170389591,282930994,108906691,168522667
4/2/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355347118,272612066,,,1,,,133794738,221552380,106099198,166512868
4/3/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363877120,266605457,,,,1,,109274025,254603095,98015851,168589606
4/4/2014,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,251895894,200192637,,,,,1,161462629,90433265,95900761,104291876
4/5/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,202336542,163199682,,,,,,82337252,119999290,66137560,97062122
4/6/2014,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,129477254,139576683,,,,,,63509779,65967475,82760418,56816265
4/7/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,196936223,176966561,1,,,,,112070534,84865689,82079318,94887243
4/8/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,354770149,250015131,,1,,,,161426655,193343494,78529923,171485208
4/9/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383347565,289330278,,,1,,,153578639,229768926,109078432,180251846
4/10/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386567460,286914864,,,,1,,172503192,214064268,108276430,178638434
4/11/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,237829882,277077434,,,,,1,127254393,110575489,82877729,194199705
4/12/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,177642053,123295320,,,,,,108187455,69454598,70774239,52521081
4/13/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208172985,178934722,,,,,,88591730,119581255,71746593,107188129
4/14/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,309853269,415986984,1,,,,,147967243,161886026,109449752,306537232
4/15/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428681231,285293076,,1,,,,214811418,213869813,90890452,194402624
4/16/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387847838,255914640,,,1,,,141350489,246497349,92135816,163778824
4/17/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355792647,265341592,,,,1,,120159510,235633137,103558464,161783128
4/18/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,239300383,225952909,,,,,1,121782403,117517980,85159529,140793380
4/19/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,268729366,146374940,,,,,,104565017,164164349,80689129,65685811
4/20/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,191259529,161057781,,,,,,93828526,97431003,89502950,71554831
4/21/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,301134667,295635256,1,,,,,123055230,178079437,105142222,190493034
4/22/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,285248757,268810141,,1,,,,124903372,160345385,95924825,172885316
4/23/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,313677307,278470936,,,1,,,142288483,171388824,121883707,156587229
4/24/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318358891,224536754,,,,1,,95082173,223276718,95245338,129291416
4/25/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,220927432,227764292,,,,,1,95850038,125077394,102138606,125625686
4/26/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,151625415,158122962,,,,,,79683229,71942186,65346955,92776007
4/27/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,146837951,191915377,,,,,,83319292,63518659,102537010,89378367
4/28/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,324937272,327724735,1,,,,,128806698,196130574,123667561,204057174
4/29/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330607104,307578349,,1,,,,153278961,177328143,103839434,203738915
4/30/2014,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,260091330,281835975,,,1,,,113469816,146621514,101837024,179998951
5/1/2014,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,193045106,143362755,,,,1,,84289250,108755856,54459139,88903616
5/2/2014,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,125336258,121222064,,,,,1,60708732,64627526,62143582,59078482
5/3/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,185094488,199568043,,,,,,84072675,101021813,78109836,121458207
5/4/2014,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,303087562,413222034,,,,,,152597192,150490370,109546057,303675977
5/5/2014,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,370924149,309330781,1,,,,,160649867,210274282,126150843,183179938
5/6/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318002728,341108696,,1,,,,147233160,170769568,132546358,208562338
5/7/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417327518,239372999,,,1,,,156343726,260983792,96034053,143338946
5/8/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392838756,273187499,,,,1,,170061420,222777336,90146503,183040996
5/9/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,281479009,247743971,,,,,1,129083260,152395749,83053243,164690728
5/10/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,287240171,147248328,,,,,,111668300,175571871,82069371,65178957
5/11/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,182424063,152945581,,,,,,91077816,91346247,70597187,82348394
5/12/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,325108597,293952908,1,,,,,165358755,159749842,96607064,197345844
5/13/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275241493,257918375,,1,,,,130854637,144386856,112250809,145667566
5/14/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305474522,316225442,,,1,,,154126144,151348378,95889522,220335920
5/15/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313367089,238307643,,,,1,,166675872,146691217,85983690,152323953
5/16/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,231967423,282094916,,,,,1,109609710,122357713,99489001,182605915
5/17/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,170983868,145854372,,,,,,91888841,79095027,74202200,71652172
5/18/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,164419642,153440019,,,,,,91068575,73351067,75573060,77866959
5/19/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,259077930,293791406,1,,,,,138339636,120738294,116058974,177732432
5/20/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453955303,260040720,,1,,,,168964121,284991182,88788887,171251833
5/21/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297799722,250223726,,,1,,,113246130,184553592,116218418,134005308
5/22/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344636549,251108485,,,,1,,128678744,215957805,81023059,170085426
5/23/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,249546195,229000787,,,,,1,101297219,148248976,89854960,139145827
5/24/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,160073254,154409868,,,,,,79731042,80342212,76768549,77641319
5/25/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,166943526,231004758,,,,,,93464819,73478707,83438063,147566695
5/26/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,344890868,274707572,1,,,,,136496518,208394350,106349254,168358318
5/27/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299049555,321965845,,1,,,,115556665,183492890,112438333,209527512
5/28/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276134813,415891684,,,1,,,120293244,155841569,119116440,296775244
5/29/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,320549863,313827800,,,,1,,116932626,203617237,106858981,206968819
5/30/2014,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,226547701,312802179,,,,,1,118018391,108529310,120218641,192583538
5/31/2014,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,146823669,142862063,,,,,,75937202,70886467,85565040,57297023
6/1/2014,7,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,183489775,149829253,,,,,,92357616,91132159,73852367,75976886
6/2/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,158219402,170409506,1,,,,,89025284,69194118,57919286,112490220
6/3/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,270887462,385622582,,1,,,,132230773,138656689,134581153,251041429
6/4/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274460744,303978838,,,1,,,131588774,142871970,96531333,207447505
6/5/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380042567,355645445,,,,1,,163338015,216704552,103026962,252618483
6/6/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,301413900,274862067,,,,,1,145792525,155621375,103858136,171003931
6/7/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,187801995,146203577,,,,,,74526043,113275952,67042272,79161305
6/8/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,302171269,169525332,,,,,,82687928,219483341,78669045,90856287
6/9/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,366114374,287520152,1,,,,,160462084,205652290,113623361,173896791
6/10/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354031597,298190025,,1,,,,182658709,171372888,91742457,206447568
6/11/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327661453,246127540,,,1,,,164645588,163015865,91214010,154913530
6/12/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332365185,236467885,,,,1,,143366379,188998806,109398899,127068986
6/13/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,216923770,386799040,,,,,1,136269979,80653791,100120283,286678757
6/14/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,181574530,229916191,,,,,,98314529,83260001,84467204,145448987
6/15/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,166080126,116623756,,,,,,106829711,59250415,68826033,47797723
6/16/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,387308484,492349489,1,,,,,195667245,191641239,119827511,372521978
6/17/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270350693,502560223,,1,,,,134916635,135434058,105342188,397218035
6/18/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335262709,421920230,,,1,,,128551630,206711079,132466675,289453555
6/19/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338609087,284956260,,,,1,,138600932,200008155,108087504,176868756
6/20/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,251582530,286583065,,,,,1,128682615,122899915,120801952,165781113
6/21/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,177999186,231003775,,,,,,108024659,69974527,89835873,141167902
6/22/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,147180819,361285652,,,,,,81165786,66015033,86015169,275270483
6/23/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,232227670,373779624,1,,,,,123874902,108352768,129103777,244675847
6/24/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245450766,428471509,,1,,,,116409359,129041407,116239758,312231751
6/25/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264663201,547295931,,,1,,,128433311,136229890,125328582,421967349
6/26/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297628039,418742109,,,,1,,115410207,182217832,140979731,277762378
6/27/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,264282703,399444352,,,,,1,100377108,163905595,110985427,288458925
6/28/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,153826161,283400236,,,,,,72658255,81167906,109465446,173934790
6/29/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,158801540,261170799,,,,,,89840049,68961491,88653342,172517457
6/30/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,334054112,456547794,1,,,,,163104835,170949277,147042220,309505574
7/1/2014,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384428753,374164541,,1,,,,176267660,208161093,157456465,216708076
7/2/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384555819,328950951,,,1,,,153727879,230827940,116569631,212381320
7/3/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297894643,289009780,,,,1,,136090667,161803976,111718097,177291683
7/4/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,211649838,264494550,,,,,1,127480727,84169111,112772415,151722135
7/5/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,169383796,272535138,,,,,,96043170,73340626,113741714,158793424
7/6/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,199569025,195530758,,,,,,106649424,92919601,105874763,89655995
7/7/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,272182847,317612569,1,,,,,155455957,116726890,126619857,190992712
7/8/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224240103,340453063,,1,,,,123328401,100911702,109723054,230730009
7/9/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278005555,269642881,,,1,,,112237572,165767983,106125237,163517644
7/10/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283095921,326009240,,,,1,,139115264,143980657,114755666,211253574
7/11/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,208671021,240050748,,,,,1,98052680,110618341,97349384,142701364
7/12/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,177644343,149081488,,,,,,98960844,78683499,89962196,59119292
7/13/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,179759885,199459990,,,,,,104970304,74789581,78874214,120585776
7/14/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,254797524,284753279,1,,,,,137609808,117187716,112464317,172288962
7/15/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334810012,261722182,,1,,,,170508651,164301361,109190494,152531688
7/16/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394890140,234775948,,,1,,,229507424,165382716,103374808,131401140
7/17/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253011280,298279385,,,,1,,162013536,90997744,120636659,177642726
7/18/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,208959595,208671287,,,,,1,112863036,96096559,98288591,110382696
7/19/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,210318023,155464283,,,,,,71708584,138609439,66213698,89250585
7/20/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,176449304,174462836,,,,,,89038012,87411292,96067544,78395292
7/21/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,378088594,434191479,1,,,,,151863920,226224674,127091845,307099634
7/22/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,243084133,369043423,,1,,,,113216633,129867500,124013025,245030398
7/23/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,265461894,308353077,,,1,,,106367354,159094540,104376543,203976534
7/24/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277044480,347622431,,,,1,,124234476,152810004,117004841,230617590
7/25/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,181641088,262874791,,,,,1,104874107,76766981,111827625,151047166
7/26/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,128268053,282653341,,,,,,71458363,56809690,80798110,201855231
7/27/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,151406251,166610652,,,,,,98120743,53285508,89933082,76677570
7/28/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,371762756,345986909,1,,,,,132102532,239660224,120782482,225204427
7/29/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228093046,303480103,,1,,,,135062235,93030811,138222011,165258092
7/30/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209917272,250117716,,,1,,,108471016,101446256,92992492,157125224
7/31/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191728916,277194379,,,,1,,122373287,69355629,110055827,167138552
8/1/2014,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,374884735,252540858,,,,,1,189946881,184937854,123028179,129512679
8/2/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,189092130,172250225,,,,,,92991884,96100246,86859401,85390824
8/3/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,173825397,127125217,,,,,,88486996,85338401,72658025,54467192
8/4/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,330640884,322907524,1,,,,,160372749,170268135,140054765,182852759
8/5/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394780870,221706539,,1,,,,179490088,215290782,123905163,97801376
8/6/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288821016,282346594,,,1,,,138507998,150313018,107149411,175197183
8/7/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247646474,253659514,,,,1,,134808198,112838276,105529524,148129990
8/8/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,233903717,311648757,,,,,1,147438988,86464729,107704173,203944584
8/9/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,160262764,163611708,,,,,,106223395,54039369,86487043,77124665
8/10/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,259534870,189909225,,,,,,127146505,132388365,101464866,88444359
8/11/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,331550471,418603336,1,,,,,197168563,134381908,120512855,298090481
8/12/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258493673,309754858,,1,,,,143903671,114590002,90816772,218938086
8/13/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261506619,303975517,,,1,,,164756374,96750245,105104598,198870919
8/14/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257702660,211939431,,,,1,,122855028,134847632,101511994,110427437
8/15/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,244551620,236516007,,,,,1,142534207,102017413,93202254,143313753
8/16/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,215059736,219214339,,,,,,130431859,84627877,111733843,107480496
8/17/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,149978271,139564084,,,,,,101804109,48174162,83618104,55945980
8/18/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,298499146,259169016,1,,,,,168018013,130481133,130588337,128580679
8/19/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266401973,254929877,,1,,,,156581069,109820904,126354563,128575314
8/20/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308378692,202452782,,,1,,,163619771,144758921,107670942,94781840
8/21/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,251763517,219963356,,,,1,,153172370,98591147,111612704,108350652
8/22/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,246316056,179349206,,,,,1,127335688,118980368,105200815,74148391
8/23/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,141412027,199377531,,,,,,87919866,53492161,91562146,107815385
