report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,total_purchase_amt,total_redeem_amt,workday1,workday2,workday3,workday4,workday5,purchase_pre3,redeem_pre3
6/27/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,264282703,399444352,,,,,1,224410103,293682052.5
6/13/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,216923770,386799040,,,,,1,254349369.6,271137749.2
6/3/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,270887462,385622582,,1,,,,312828805.5,317818856.5
7/1/2014,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384428753,374164541,,1,,,,432785757.5,318505284.2
6/23/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,232227670,373779624,1,,,,,314015019.8,377515072.6
7/22/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,243084133,369043423,,1,,,,300045566.8,339865457.5
6/22/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,147180819,361285652,,,,,,164561374.9,221452025.1
6/5/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380042567,355645445,,,,1,,353994225.5,271589788.6
7/24/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277044480,347622431,,,,1,,289261953.8,305889455
7/28/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,371762756,345986909,1,,,,,314015019.8,377515072.6
5/6/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318002728,341108696,,1,,,,364777838.5,305565791.1
7/8/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224240103,340453063,,1,,,,364777838.5,305565791.1
7/2/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384555819,328950951,,,1,,,356697528.4,303484918.5
4/28/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,324937272,327724735,1,,,,,314015019.8,377515072.6
7/10/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283095921,326009240,,,,1,,353994225.5,271589788.6
8/4/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,330640884,322907524,1,,,,,378747291.5,343215406.2
5/27/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299049555,321965845,,1,,,,300045566.8,339865457.5
7/7/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,272182847,317612569,1,,,,,378747291.5,343215406.2
5/14/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305474522,316225442,,,1,,,321904523.3,315240281.6
5/29/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,320549863,313827800,,,,1,,289261953.8,305889455
5/30/2014,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,226547701,312802179,,,,,1,202082499.9,261675975
8/25/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,309574223,312413411,1,,,,,314015019.8,377515072.6
8/8/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,233903717,311648757,,,,,1,289142374.6,259382386.1
8/12/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258493673,309754858,,1,,,,329984833.4,317321154.2
5/5/2014,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,370924149,309330781,1,,,,,370924149,309330781
7/23/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,265461894,308353077,,,1,,,291965256.7,337784584.9
4/29/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330607104,307578349,,1,,,,300045566.8,339865457.5
6/4/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274460744,303978838,,,1,,,356697528.4,303484918.5
8/13/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261506619,303975517,,,1,,,321904523.3,315240281.6
7/29/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228093046,303480103,,1,,,,300045566.8,339865457.5
7/17/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253011280,298279385,,,,1,,319201220.4,283345151.7
6/10/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354031597,298190025,,1,,,,364777838.5,305565791.1
8/28/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245082751,297893861,,,,1,,289261953.8,305889455
4/21/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,301134667,295635256,1,,,,,314015019.8,377515072.6
5/12/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,325108597,293952908,1,,,,,343954286.4,354970769.3
5/19/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,259077930,293791406,1,,,,,343954286.4,354970769.3
8/31/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,275090213,292943033,,,,,,164561374.9,221452025.1
4/9/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383347565,289330278,,,1,,,356697528.4,303484918.5
7/3/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297894643,289009780,,,,1,,353994225.5,271589788.6
6/9/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,366114374,287520152,1,,,,,378747291.5,343215406.2
4/10/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386567460,286914864,,,,1,,353994225.5,271589788.6
6/20/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,251582530,286583065,,,,,1,254349369.6,271137749.2
8/26/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,306945089,285478563,,1,,,,300045566.8,339865457.5
4/15/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428681231,285293076,,1,,,,329984833.4,317321154.2
6/19/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338609087,284956260,,,,1,,319201220.4,283345151.7
7/14/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,254797524,284753279,1,,,,,343954286.4,354970769.3
6/28/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,153826161,283400236,,,,,,169983671.9,204751813.3
7/26/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,128268053,282653341,,,,,,169983671.9,204751813.3
8/6/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288821016,282346594,,,1,,,356697528.4,303484918.5
5/16/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,231967423,282094916,,,,,1,254349369.6,271137749.2
4/30/2014,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,260091330,281835975,,,1,,,269637653.6,305778507.4
4/23/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,313677307,278470936,,,1,,,291965256.7,337784584.9
4/1/2014,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453320585,277429358,,1,,,,432785757.5,318505284.2
7/31/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191728916,277194379,,,,1,,289261953.8,305889455
4/11/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,237829882,277077434,,,,,1,254349369.6,271137749.2
6/6/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,301413900,274862067,,,,,1,289142374.6,259382386.1
5/26/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,344890868,274707572,1,,,,,314015019.8,377515072.6
8/29/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,267554713,273756380,,,,,1,224410103,293682052.5
5/8/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392838756,273187499,,,,1,,353994225.5,271589788.6
4/2/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355347118,272612066,,,1,,,356697528.4,303484918.5
7/5/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,169383796,272535138,,,,,,234715943.6,170452146.9
7/9/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278005555,269642881,,,1,,,356697528.4,303484918.5
4/22/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,285248757,268810141,,1,,,,300045566.8,339865457.5
4/3/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363877120,266605457,,,,1,,353994225.5,271589788.6
4/17/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355792647,265341592,,,,1,,319201220.4,283345151.7
7/4/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,211649838,264494550,,,,,1,289142374.6,259382386.1
7/25/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,181641088,262874791,,,,,1,224410103,293682052.5
7/15/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334810012,261722182,,1,,,,329984833.4,317321154.2
6/29/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,158801540,261170799,,,,,,164561374.9,221452025.1
5/20/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453955303,260040720,,1,,,,329984833.4,317321154.2
8/18/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,298499146,259169016,1,,,,,343954286.4,354970769.3
5/13/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275241493,257918375,,1,,,,329984833.4,317321154.2
4/16/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387847838,255914640,,,1,,,321904523.3,315240281.6
8/19/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266401973,254929877,,1,,,,329984833.4,317321154.2
8/7/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247646474,253659514,,,,1,,353994225.5,271589788.6
8/1/2014,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,374884735,252540858,,,,,1,357150293.6,272321879.3
5/22/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344636549,251108485,,,,1,,289261953.8,305889455
5/21/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297799722,250223726,,,1,,,291965256.7,337784584.9
7/30/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209917272,250117716,,,1,,,291965256.7,337784584.9
4/8/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,354770149,250015131,,1,,,,312828805.5,317818856.5
5/9/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,281479009,247743971,,,,,1,289142374.6,259382386.1
6/11/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327661453,246127540,,,1,,,321904523.3,315240281.6
7/11/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,208671021,240050748,,,,,1,254349369.6,271137749.2
5/7/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417327518,239372999,,,1,,,356697528.4,303484918.5
5/15/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313367089,238307643,,,,1,,319201220.4,283345151.7
8/15/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,244551620,236516007,,,,,1,254349369.6,271137749.2
6/12/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332365185,236467885,,,,1,,319201220.4,283345151.7
7/16/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394890140,234775948,,,1,,,321904523.3,315240281.6
5/25/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,166943526,231004758,,,,,,164561374.9,221452025.1
6/21/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,177999186,231003775,,,,,,169983671.9,204751813.3
6/14/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,181574530,229916191,,,,,,199922938.5,182207510
5/23/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,249546195,229000787,,,,,1,224410103,293682052.5
4/25/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,220927432,227764292,,,,,1,224410103,293682052.5
4/18/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,239300383,225952909,,,,,1,254349369.6,271137749.2
4/24/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318358891,224536754,,,,1,,289261953.8,305889455
8/5/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394780870,221706539,,1,,,,364777838.5,305565791.1
8/21/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,251763517,219963356,,,,1,,289261953.8,305889455
8/16/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,215059736,219214339,,,,,,199922938.5,182207510
8/14/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257702660,211939431,,,,1,,319201220.4,283345151.7
7/18/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,208959595,208671287,,,,,1,254349369.6,271137749.2
8/20/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308378692,202452782,,,1,,,321904523.3,315240281.6
4/4/2014,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,251895894,200192637,,,,,1,266814771.5,227376308.6
5/3/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,185094488,199568043,,,,,,170958134.9,142879228.2
7/13/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,179759885,199459990,,,,,,194500641.5,198907721.8
8/23/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,141412027,199377531,,,,,,169983671.9,204751813.3
8/30/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,199708772,196374134,,,,,,169983671.9,204751813.3
7/6/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,199569025,195530758,,,,,,229293646.6,187152358.7
4/27/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,146837951,191915377,,,,,,164561374.9,221452025.1
8/24/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,130195484,191080151,,,,,,164561374.9,221452025.1
8/10/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,259534870,189909225,,,,,,229293646.6,187152358.7
8/22/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,246316056,179349206,,,,,1,224410103,293682052.5
4/13/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208172985,178934722,,,,,,194500641.5,198907721.8
4/7/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,196936223,176966561,1,,,,,177577812.5,173688033.5
7/20/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,176449304,174462836,,,,,,194500641.5,198907721.8
8/2/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,189092130,172250225,,,,,,234715943.6,170452146.9
6/2/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,158219402,170409506,1,,,,,177577812.5,173688033.5
6/8/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,302171269,169525332,,,,,,229293646.6,187152358.7
7/27/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,151406251,166610652,,,,,,164561374.9,221452025.1
8/9/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,160262764,163611708,,,,,,234715943.6,170452146.9
4/5/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,202336542,163199682,,,,,,170958134.9,142879228.2
4/20/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,191259529,161057781,,,,,,194500641.5,198907721.8
4/26/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,151625415,158122962,,,,,,169983671.9,204751813.3
7/19/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,210318023,155464283,,,,,,199922938.5,182207510
5/24/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,160073254,154409868,,,,,,169983671.9,204751813.3
5/18/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,164419642,153440019,,,,,,194500641.5,198907721.8
5/11/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,182424063,152945581,,,,,,194500641.5,198907721.8
6/1/2014,7,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,183489775,149829253,,,,,,233543756.9,172518933.1
7/12/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,177644343,149081488,,,,,,199922938.5,182207510
5/10/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,287240171,147248328,,,,,,234715943.6,170452146.9
4/19/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,268729366,146374940,,,,,,199922938.5,182207510
6/7/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,187801995,146203577,,,,,,234715943.6,170452146.9
5/17/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,170983868,145854372,,,,,,199922938.5,182207510
5/1/2014,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,193045106,143362755,,,,1,,193045106,143362755
5/31/2014,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,146823669,142862063,,,,,,106225863.3,177178894.6
4/6/2014,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,129477254,139576683,,,,,,165535837.9,159579440
8/17/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,149978271,139564084,,,,,,194500641.5,198907721.8
8/3/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,173825397,127125217,,,,,,229293646.6,187152358.7
4/12/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,177642053,123295320,,,,,,199922938.5,182207510
5/2/2014,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,125336258,121222064,,,,,1,125336258,121222064
6/15/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,166080126,116623756,,,,,,194500641.5,198907721.8
9/1/2014,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,446755210.5,356154899.4
9/2/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,353994225.5,271589788.6
9/3/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,353994225.5,271589788.6
9/4/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,353994225.5,271589788.6
9/5/2014,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,266814771.5,227376308.6
9/6/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,170958134.9,142879228.2
9/7/2014,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,165535837.9,159579440
9/8/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,177577812.5,173688033.5
9/9/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,302045192.5,283842854.1
9/10/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,353994225.5,271589788.6
9/11/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,319201220.4,283345151.7
9/12/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,254349369.6,271137749.2
9/13/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,199922938.5,182207510
9/14/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,194500641.5,198907721.8
9/15/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,343954286.4,354970769.3
9/16/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,319201220.4,283345151.7
9/17/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,319201220.4,283345151.7
9/18/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,319201220.4,283345151.7
9/19/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,254349369.6,271137749.2
9/20/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,199922938.5,182207510
9/21/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,164561374.9,221452025.1
9/22/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,314015019.8,377515072.6
9/23/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,289261953.8,305889455
9/24/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,289261953.8,305889455
9/25/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,289261953.8,305889455
9/26/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,224410103,293682052.5
9/27/2014,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,205604911.3,227858639.2
9/28/2014,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,333089982.7,449935473.8
9/29/2014,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,271229360.5,362848233.8
9/30/2014,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,266934350.7,273883377.5
