report_date,user_amount
2013-10-29,2470
2013-10-30,2524
2013-10-31,2558
2013-11-01,2627
2013-11-02,2656
2013-11-03,2663
2013-11-04,2734
2013-11-05,2950
2013-11-06,3061
2013-11-07,3183
2013-11-08,3280
2013-11-09,3367
2013-11-10,3673
2013-11-11,3556
2013-11-12,3484
2013-11-13,3527
2013-11-14,3528
2013-11-15,3562
2013-11-16,3604
2013-11-17,3630
2013-11-18,3685
2013-11-19,3725
2013-11-20,3766
2013-11-21,3773
2013-11-22,3801
2013-11-23,3885
2013-11-24,3910
2013-11-25,3964
2013-11-26,4001
2013-11-27,4033
2013-11-28,4049
2013-11-29,4092
2013-11-30,4139
2013-12-01,4186
2013-12-02,4240
2013-12-03,4266
2013-12-04,4292
2013-12-05,4334
2013-12-06,4341
2013-12-07,4362
2013-12-08,4391
2013-12-09,4428
2013-12-10,4473
2013-12-11,4518
2013-12-12,4563
2013-12-13,4577
2013-12-14,4599
2013-12-15,4648
2013-12-16,4675
2013-12-17,4717
2013-12-18,4752
2013-12-19,4783
2013-12-20,4854
2013-12-21,4890
2013-12-22,4935
2013-12-23,4979
2013-12-24,5010
2013-12-25,5045
2013-12-26,5077
2013-12-27,5117
2013-12-28,5155
2013-12-29,5176
2013-12-30,5238
2013-12-31,5258
2014-01-01,5293
2014-01-02,5340
2014-01-03,5374
2014-01-04,5414
2014-01-05,5483
2014-01-06,5514
2014-01-07,5560
2014-01-08,5621
2014-01-09,5646
2014-01-10,5701
2014-01-11,5764
2014-01-12,5836
2014-01-13,5945
2014-01-14,6076
2014-01-15,6136
2014-01-16,6215
2014-01-17,6241
2014-01-18,6268
2014-01-19,6268
2014-01-20,6353
2014-01-21,6382
2014-01-22,6406
2014-01-23,6428
2014-01-24,6467
2014-01-25,6526
2014-01-26,6600
2014-01-27,6626
2014-01-28,6683
2014-01-29,6735
2014-01-30,6749
2014-01-31,6783
2014-02-01,6780
2014-02-02,6793
2014-02-03,6831
2014-02-04,6850
2014-02-05,6883
2014-02-06,6940
2014-02-07,7075
2014-02-08,7133
2014-02-09,7188
2014-02-10,7306
2014-02-11,7358
2014-02-12,7443
2014-02-13,7479
2014-02-14,7604
2014-02-15,7669
2014-02-16,7721
2014-02-17,7826
2014-02-18,7889
2014-02-19,7900
2014-02-20,8005
2014-02-21,8065
2014-02-22,8079
2014-02-23,8158
2014-02-24,8280
2014-02-25,8344
2014-02-26,8402
2014-02-27,8440
2014-02-28,8454
2014-03-01,8491
2014-03-02,8532
2014-03-03,8595
2014-03-04,8638
2014-03-05,8682
2014-03-06,8748
2014-03-07,8789
2014-03-08,8823
2014-03-09,8858
2014-03-10,8887
2014-03-11,8940
2014-03-12,8990
2014-03-13,9019
2014-03-14,9063
2014-03-15,9092
2014-03-16,9111
2014-03-17,9167
2014-03-18,9178
2014-03-19,9245
2014-03-20,9313
2014-03-21,9341
2014-03-22,9352
2014-03-23,9394
2014-03-24,9469
2014-03-25,9493
2014-03-26,9512
2014-03-27,9553
2014-03-28,9579
2014-03-29,9637
2014-03-30,9674
2014-03-31,9738
2014-04-01,9798
2014-04-02,9812
2014-04-03,9873
2014-04-04,9858
2014-04-05,9864
2014-04-06,9885
2014-04-07,9922
2014-04-08,9951
2014-04-09,10001
2014-04-10,10042
2014-04-11,10074
2014-04-12,10066
2014-04-13,10138
2014-04-14,10165
2014-04-15,10181
2014-04-16,10206
2014-04-17,10215
2014-04-18,10251
2014-04-19,10263
2014-04-20,10280
2014-04-21,10318
2014-04-22,10304
2014-04-23,10330
2014-04-24,10373
2014-04-25,10409
2014-04-26,10421
2014-04-27,10446
2014-04-28,10484
2014-04-29,10457
2014-04-30,10492
2014-05-01,10513
2014-05-02,10516
2014-05-03,10526
2014-05-04,10555
2014-05-05,10612
2014-05-06,10624
2014-05-07,10656
2014-05-08,10671
2014-05-09,10715
2014-05-10,10705
2014-05-11,10753
2014-05-12,10767
2014-05-13,10788
2014-05-14,10790
2014-05-15,10824
2014-05-16,10849
2014-05-17,10868
2014-05-18,10874
2014-05-19,10914
2014-05-20,10930
2014-05-21,10971
2014-05-22,10999
2014-05-23,11029
2014-05-24,11039
2014-05-25,11053
2014-05-26,11082
2014-05-27,11084
2014-05-28,11081
2014-05-29,11093
2014-05-30,11100
2014-05-31,11110
2014-06-01,11116
2014-06-02,11141
2014-06-03,11180
2014-06-04,11178
2014-06-05,11221
2014-06-06,11234
2014-06-07,11237
2014-06-08,11241
2014-06-09,11292
2014-06-10,11299
2014-06-11,11333
2014-06-12,11349
2014-06-13,11379
2014-06-14,11390
2014-06-15,11407
2014-06-16,11433
2014-06-17,11451
2014-06-18,11487
2014-06-19,11497
2014-06-20,11502
2014-06-21,11528
2014-06-22,11541
2014-06-23,11562
2014-06-24,11577
2014-06-25,11594
2014-06-26,11622
2014-06-27,11616
2014-06-28,11630
2014-06-29,11627
2014-06-30,11682
2014-07-01,11718
2014-07-02,11716
2014-07-03,11734
2014-07-04,11718
2014-07-05,11736
2014-07-06,11734
2014-07-07,11770
2014-07-08,11771
2014-07-09,11772
2014-07-10,11782
2014-07-11,11804
2014-07-12,11823
2014-07-13,11871
2014-07-14,11902
2014-07-15,11901
2014-07-16,11916
2014-07-17,11915
2014-07-18,11924
2014-07-19,11940
2014-07-20,11961
2014-07-21,11987
2014-07-22,12020
2014-07-23,12017
2014-07-24,12030
2014-07-25,12009
2014-07-26,12028
2014-07-27,12040
2014-07-28,12083
2014-07-29,12073
2014-07-30,12089
2014-07-31,12101
2014-08-01,12111
2014-08-02,12103
2014-08-03,12136
2014-08-04,12157
2014-08-05,12174
2014-08-06,12189
2014-08-07,12204
2014-08-08,12195
2014-08-09,12225
2014-08-10,12227
2014-08-11,12266
2014-08-12,12307
2014-08-13,12314
2014-08-14,12301
2014-08-15,12316
2014-08-16,12346
2014-08-17,12370
2014-08-18,12401
2014-08-19,12411
2014-08-20,12436
2014-08-21,12436
2014-08-22,12446
2014-08-23,12459
2014-08-24,12471
2014-08-25,12508
2014-08-26,12517
2014-08-27,12527
2014-08-28,12557
2014-08-29,12596
2014-08-30,12603
2014-08-31,12614
