report_date,user_amount
2014-04-26,1175
2014-04-27,1176
2014-04-28,1176
2014-04-29,1175
2014-04-30,1177
2014-05-01,1179
2014-05-02,1177
2014-05-03,1178
2014-05-04,1181
2014-05-05,1180
2014-05-06,1179
2014-05-07,1181
2014-05-08,1184
2014-05-09,1181
2014-05-10,1178
2014-05-11,1180
2014-05-12,1179
2014-05-13,1179
2014-05-14,1172
2014-05-15,1174
2014-05-16,1173
2014-05-17,1177
2014-05-18,1176
2014-05-19,1176
2014-05-20,1179
2014-05-21,1175
2014-05-22,1179
2014-05-23,1179
2014-05-24,1180
2014-05-25,1178
2014-05-26,1176
2014-05-27,1176
2014-05-28,1178
2014-05-29,1177
2014-05-30,1176
2014-05-31,1174
2014-06-01,1177
2014-06-02,1178
2014-06-03,1174
2014-06-04,1174
2014-06-05,1176
2014-06-06,1176
2014-06-07,1176
2014-06-08,1173
2014-06-09,1175
2014-06-10,1174
2014-06-11,1174
2014-06-12,1178
2014-06-13,1177
2014-06-14,1176
2014-06-15,1177
2014-06-16,1180
2014-06-17,1180
2014-06-18,1180
2014-06-19,1175
2014-06-20,1177
2014-06-21,1176
2014-06-22,1176
2014-06-23,1178
2014-06-24,1177
2014-06-25,1178
2014-06-26,1176
2014-06-27,1174
2014-06-28,1175
2014-06-29,1175
2014-06-30,1175
2014-07-01,1174
2014-07-02,1171
2014-07-03,1168
2014-07-04,1166
2014-07-05,1164
2014-07-06,1166
2014-07-07,1167
2014-07-08,1166
2014-07-09,1164
2014-07-10,1161
2014-07-11,1161
2014-07-12,1156
2014-07-13,1156
2014-07-14,1158
2014-07-15,1161
2014-07-16,1162
2014-07-17,1158
2014-07-18,1157
2014-07-19,1156
2014-07-20,1158
2014-07-21,1157
2014-07-22,1161
2014-07-23,1162
2014-07-24,1161
2014-07-25,1157
2014-07-26,1156
2014-07-27,1157
2014-07-28,1159
2014-07-29,1155
2014-07-30,1156
2014-07-31,1154
2014-08-01,1156
2014-08-02,1155
2014-08-03,1153
2014-08-04,1153
2014-08-05,1157
2014-08-06,1159
2014-08-07,1159
2014-08-08,1157
2014-08-09,1155
2014-08-10,1153
2014-08-11,1151
2014-08-12,1153
2014-08-13,1149
2014-08-14,1147
2014-08-15,1147
2014-08-16,1144
2014-08-17,1146
2014-08-18,1149
2014-08-19,1146
2014-08-20,1145
2014-08-21,1147
2014-08-22,1148
2014-08-23,1148
2014-08-24,1147
2014-08-25,1148
2014-08-26,1149
2014-08-27,1146
2014-08-28,1145
2014-08-29,1144
2014-08-30,1144
2014-08-31,1141
