report_date,user_amount
2013-12-10,3800
2013-12-11,3834
2013-12-12,3873
2013-12-13,3887
2013-12-14,3908
2013-12-15,3949
2013-12-16,3968
2013-12-17,4008
2013-12-18,4035
2013-12-19,4062
2013-12-20,4133
2013-12-21,4171
2013-12-22,4212
2013-12-23,4250
2013-12-24,4281
2013-12-25,4307
2013-12-26,4335
2013-12-27,4370
2013-12-28,4402
2013-12-29,4420
2013-12-30,4473
2013-12-31,4487
2014-01-01,4521
2014-01-02,4558
2014-01-03,4588
2014-01-04,4623
2014-01-05,4686
2014-01-06,4714
2014-01-07,4755
2014-01-08,4811
2014-01-09,4829
2014-01-10,4882
2014-01-11,4935
2014-01-12,4997
2014-01-13,5095
2014-01-14,5223
2014-01-15,5273
2014-01-16,5346
2014-01-17,5372
2014-01-18,5393
2014-01-19,5393
2014-01-20,5468
2014-01-21,5496
2014-01-22,5519
2014-01-23,5534
2014-01-24,5566
2014-01-25,5619
2014-01-26,5682
2014-01-27,5709
2014-01-28,5748
2014-01-29,5793
2014-01-30,5806
2014-01-31,5836
2014-02-01,5833
2014-02-02,5849
2014-02-03,5886
2014-02-04,5897
2014-02-05,5931
2014-02-06,5985
2014-02-07,6106
2014-02-08,6157
2014-02-09,6202
2014-02-10,6301
2014-02-11,6350
2014-02-12,6426
2014-02-13,6455
2014-02-14,6572
2014-02-15,6638
2014-02-16,6690
2014-02-17,6781
2014-02-18,6842
2014-02-19,6846
2014-02-20,6949
2014-02-21,7006
2014-02-22,7016
2014-02-23,7093
2014-02-24,7199
2014-02-25,7252
2014-02-26,7308
2014-02-27,7337
2014-02-28,7349
2014-03-01,7380
2014-03-02,7418
2014-03-03,7473
2014-03-04,7516
2014-03-05,7553
2014-03-06,7619
2014-03-07,7662
2014-03-08,7695
2014-03-09,7724
2014-03-10,7754
2014-03-11,7801
2014-03-12,7846
2014-03-13,7873
2014-03-14,7917
2014-03-15,7949
2014-03-16,7967
2014-03-17,8025
2014-03-18,8035
2014-03-19,8104
2014-03-20,8170
2014-03-21,8199
2014-03-22,8209
2014-03-23,8252
2014-03-24,8323
2014-03-25,8353
2014-03-26,8370
2014-03-27,8411
2014-03-28,8435
2014-03-29,8487
2014-03-30,8522
2014-03-31,8584
2014-04-01,8641
2014-04-02,8657
2014-04-03,8718
2014-04-04,8704
2014-04-05,8710
2014-04-06,8728
2014-04-07,8764
2014-04-08,8795
2014-04-09,8841
2014-04-10,8880
2014-04-11,8912
2014-04-12,8904
2014-04-13,8972
2014-04-14,8996
2014-04-15,9012
2014-04-16,9038
2014-04-17,9048
2014-04-18,9083
2014-04-19,9094
2014-04-20,9114
2014-04-21,9150
2014-04-22,9135
2014-04-23,9156
2014-04-24,9196
2014-04-25,9231
2014-04-26,9246
2014-04-27,9270
2014-04-28,9308
2014-04-29,9282
2014-04-30,9315
2014-05-01,9334
2014-05-02,9339
2014-05-03,9348
2014-05-04,9374
2014-05-05,9432
2014-05-06,9445
2014-05-07,9475
2014-05-08,9487
2014-05-09,9534
2014-05-10,9527
2014-05-11,9573
2014-05-12,9588
2014-05-13,9609
2014-05-14,9618
2014-05-15,9650
2014-05-16,9676
2014-05-17,9691
2014-05-18,9698
2014-05-19,9738
2014-05-20,9751
2014-05-21,9796
2014-05-22,9820
2014-05-23,9850
2014-05-24,9859
2014-05-25,9875
2014-05-26,9906
2014-05-27,9908
2014-05-28,9903
2014-05-29,9916
2014-05-30,9924
2014-05-31,9936
2014-06-01,9939
2014-06-02,9963
2014-06-03,10006
2014-06-04,10004
2014-06-05,10045
2014-06-06,10058
2014-06-07,10061
2014-06-08,10068
2014-06-09,10117
2014-06-10,10125
2014-06-11,10159
2014-06-12,10171
2014-06-13,10202
2014-06-14,10214
2014-06-15,10230
2014-06-16,10253
2014-06-17,10271
2014-06-18,10307
2014-06-19,10322
2014-06-20,10325
2014-06-21,10352
2014-06-22,10365
2014-06-23,10384
2014-06-24,10400
2014-06-25,10416
2014-06-26,10446
2014-06-27,10442
2014-06-28,10455
2014-06-29,10452
2014-06-30,10507
2014-07-01,10544
2014-07-02,10545
2014-07-03,10566
2014-07-04,10552
2014-07-05,10572
2014-07-06,10568
2014-07-07,10603
2014-07-08,10605
2014-07-09,10608
2014-07-10,10621
2014-07-11,10643
2014-07-12,10667
2014-07-13,10715
2014-07-14,10744
2014-07-15,10740
2014-07-16,10754
2014-07-17,10757
2014-07-18,10767
2014-07-19,10784
2014-07-20,10803
2014-07-21,10830
2014-07-22,10859
2014-07-23,10855
2014-07-24,10869
2014-07-25,10852
2014-07-26,10872
2014-07-27,10883
2014-07-28,10924
2014-07-29,10918
2014-07-30,10933
2014-07-31,10947
2014-08-01,10955
2014-08-02,10948
2014-08-03,10983
2014-08-04,11004
2014-08-05,11017
2014-08-06,11030
2014-08-07,11045
2014-08-08,11038
2014-08-09,11070
2014-08-10,11074
2014-08-11,11115
2014-08-12,11154
2014-08-13,11165
2014-08-14,11154
2014-08-15,11169
2014-08-16,11202
2014-08-17,11224
2014-08-18,11252
2014-08-19,11265
2014-08-20,11291
2014-08-21,11289
2014-08-22,11298
2014-08-23,11311
2014-08-24,11324
2014-08-25,11360
2014-08-26,11368
2014-08-27,11381
2014-08-28,11412
2014-08-29,11452
2014-08-30,11459
2014-08-31,11473
